id,smiles,formula,charge
cpd00095,O=C(CO)COP(=O)([O-])[O-],C3H5O6P,-2
cpd00096,Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1,C9H13N3O11P2,-2
cpd00097,O=C([O-])c1cc(C(=O)[O-])c2c(n1)C(=O)C(=O)c1cc(C(=O)[O-])[nH]c1-2,C14H3N2O8,-3
cpd00098,C[N+](C)(C)CCO,C5H14NO,1
cpd00099,[Cl-],Cl,-1
cpd00100,OCC(O)CO,C3H8O3,0
cpd00101,O=P([O-])([O-])OC[C@H]1OC(O)[C@H](O)[C@@H]1O,C5H9O8P,-2
cpd00102,O=C[C@H](O)COP(=O)([O-])[O-],C3H5O6P,-2
cpd00103,O=P([O-])([O-])OC[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])O)[C@H](O)[C@@H]1O,C5H9O14P3,-4
cpd00104,O=C([O-])CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12,C10H15N2O3S,-1
cpd00105,OC[C@H]1OC(O)[C@H](O)[C@@H]1O,C5H10O5,0
cpd00106,O=C([O-])/C=C/C(=O)[O-],C4H2O4,-2
cpd00107,CC(C)C[C@H]([NH3+])C(=O)[O-],C6H13NO2,0
cpd00108,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,C6H12O6,0
cpd00109,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe+]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O,C42H42FeN8O8R4S2,-1
cpd00110,*NC(=O)[C@H](CSC(C)C1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C(C)SC[C@H](NC(*)=O)C(=O)N*)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C)NC(*)=O,C42H42FeN8O8R4S2,-2
cpd00111,[NH3+][C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H]([NH3+])C(=O)[O-])C(=O)NCC(=O)[O-])C(=O)NCC(=O)[O-])C(=O)[O-],C20H30N6O12S2,-2
cpd00112,CC(=O)N[C@@H]1[C@@H](O)C[C@@](OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(N)nc3=O)[C@H](O)[C@@H]2O)(C(=O)[O-])O[C@H]1[C@H](O)[C@H](O)CO,C20H29N4O16P,-2
cpd00113,C=C(C)CCOP(=O)([O-])OP(=O)([O-])O,C5H10O7P2,-2
cpd00114,O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,C10H11N4O8P,-2
cpd00115,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)O1,C10H13N5O12P3,-3
cpd00116,CO,CH4O,0
cpd00117,C[C@@H]([NH3+])C(=O)[O-],C3H7NO2,0
cpd00118,[NH3+]CCCC[NH3+],C4H14N2,2
cpd00119,[NH3+][C@@H](Cc1cnc[nH]1)C(=O)[O-],C6H9N3O2,0
cpd00120,CCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],C25H38N7O17P3S,-4
cpd00121,O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O,C6H12O6,0
cpd00122,CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O,C8H15NO6,0
cpd00123,CC(C)C(=O)C(=O)[O-],C5H7O3,-1
cpd00125,Nc1nc2c(c(=O)[nH]1)N1CN(c3ccc(C(=O)N[C@@H](CCC(=O)[O-])C(=O)[O-])cc3)C[C@H]1CN2,C20H21N7O6,-2
cpd00126,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)[nH]1,C10H12N5O8P,-2
cpd00127,Oc1ccccc1,C6H6O,0
cpd00128,Nc1ncnc2nc[nH]c12,C5H5N5,0
cpd00129,O=C([O-])[C@@H]1CCC[NH2+]1,C5H9NO2,0
cpd00130,O=C([O-])C[C@H](O)C(=O)[O-],C4H4O5,-2
cpd00131,[Mo+2],Mo,2
cpd00132,NC(=O)C[C@H]([NH3+])C(=O)[O-],C4H8N2O3,0
cpd00133,NC(=O)c1cccnc1,C6H6N2O,0
cpd00134,CCCCCCCCCCCCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-],C37H62N7O17P3S,-4
cpd00135,[NH3+][C@@H](CCS)C(=O)[O-],C4H9NO2S,0
cpd00136,O=C([O-])c1ccc(O)cc1,C7H5O3,-1
cpd00137,O=C([O-])CC(O)(CC(=O)[O-])C(=O)[O-],C6H5O7,-3
cpd00138,OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O,C6H12O6,0
cpd00139,O=C([O-])CO,C2H3O3,-1
cpd00141,CCC(=O)[O-],C3H5O2,-1
cpd00142,CC(=O)CC(=O)[O-],C4H5O3,-1
cpd00143,O=C([O-])C(=O)Cc1ccccc1,C9H7O3,-1
cpd00144,O=C([O-])[C@H]1O[C@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C15H19N2O18P2,-3
cpd00145,O=C([O-])C(=O)CO,C3H3O4,-1
cpd00146,NC(=O)OP(=O)([O-])[O-],CH2NO5P,-2
cpd00147,CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O,C11H15N5O3S,0
cpd00148,*[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O,C5H8O7PR,-2
cpd00149,[Co+2],Co,2
cpd00150,C#N,CHN,0
cpd00151,CC1C=NC(=O)NC1=O,C5H6N2O2,0
cpd00152,NC(=[NH2+])NCCCC[NH3+],C5H16N4,2
cpd00153,O=C([O-])c1ccccc1,C7H5O2,-1
cpd00154,OC1OC[C@@H](O)[C@H](O)[C@H]1O,C5H10O5,0
cpd00155,OC[C@H]1O[C@H](OC[C@H]2O[C@H](O[C@@H]3[C@@H](CO)O[C@H](O)[C@H](O)[C@H]3O)[C@H](O)[C@@H](O)[C@@H]2O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C24H42O21,0
cpd00156,CC(C)[C@H]([NH3+])C(=O)[O-],C5H11NO2,0
cpd00157,O=C(CO)CO,C3H6O3,0
cpd00158,OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C12H22O11,0
cpd00159,C[C@H](O)C(=O)[O-],C3H5O3,-1
cpd00160,CC(C)CCC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3CC=C4C[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]21C,C27H46O,0
cpd00161,C[C@@H](O)[C@H]([NH3+])C(=O)[O-],C4H9NO3,0
cpd00162,[NH3+]CCO,C2H8NO,1
cpd00163,O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3OC[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,C14H20N2O16P2,-2
cpd00164,O=C([O-])[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,C6H9O7,-1
cpd00165,NO,H3NO,0
cpd00166,CC1=C2N3C(=CC4=[N+]5[C+](C(C)=C6N7[C@@H]8[C@H](CC(N)=O)[C@]6(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@@H]6[C@@H](CO)O[C@@H]([C@@H]6O)n6c[n+](c9cc(C)c(C)cc96)[Co-3]375(C[C@H]3O[C@@H](n5cnc6c(N)ncnc65)[C@H](O)[C@@H]3O)[N+]3=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]83C)[C@@H](CCC(N)=O)C4(C)C)[C@@H](CCC(N)=O)[C@]2(C)CC(N)=O,C72H100CoN18O17P,0
cpd00167,*C(=O)N[C@@H](CO)[C@H](O)/C=C/CCCCCCCCCCCCC,C19H36NO3R,0
cpd00168,O=C([O-])c1cccc(O)c1O,C7H5O4,-1
cpd00169,O=C([O-])[C@H](O)COP(=O)([O-])[O-],C3H4O7P,-3
cpd00170,O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,C6H10O6,0
cpd00171,O=C(CO)[C@H](O)[C@H](O)COP(=O)([O-])[O-],C5H9O8P,-2
cpd00172,COS(=O)(=O)[O-].C[n+]1c2ccccc2nc2ccccc21,C14H14N2O4S,0
cpd00173,*[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O,C5H9O13P3R,-3
cpd00174,CC(C)OP(=O)(F)OC(C)C,C6H14FO3P,0
cpd00175,CC(=O)N[C@H]1C(OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,C17H25N3O17P2,-2
cpd00176,O=C([O-])C(=O)C[C@H](O)[C@H](O)CO,C6H9O6,-1
cpd00177,Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])OP(=O)([O-])O)O1,C10H13N5O9P2,-2
cpd00178,CC(C)=O,C3H6O,0
cpd00179,OC[C@H]1O[C@H](O[C@@H]2[C@@H](CO)OC(O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,C12H22O11,0
cpd00180,O=C([O-])C(=O)[O-],C2O4,-2
cpd00181,[1*][Co+]N1/C2=C(/C)C3=[NH+]/C(=C\C4=[NH+]/C(=C(/C)C5=N[C@@](C)(C1[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]1[C@@H](O)[C@@H]([2*])O[C@@H]1CO)[C@@](C)(CC(N)=O)[C@@H]5CCC(N)=O)[C@@](C)(CC(N)=O)[C@@H]4CCC(N)=O)C(C)(C)[C@@H]3CCC(N)=O,C53H81CoN11O14PR2,2
cpd00182,Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,C10H13N5O4,0
cpd00183,C[NH2+]CC(=O)[O-],C3H7NO2,0
cpd00184,Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O,C10H14N2O5,0
cpd00185,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O,C5H10O5,0
cpd00186,[NH3+][C@H](CCC(=O)[O-])C(=O)[O-],C5H8NO4,-1
cpd00187,C[NH3+],CH6N,1
cpd00188,CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)[O-],C20H31O2,-1
cpd00189,CN(C)c1ccc2nc3ccc(N(C)C)cc3[s+]c2c1.[Cl-],C16H18ClN3S,0
cpd00190,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O,C6H12O6,0
cpd00191,O=CCC(=O)[O-],C3H3O3,-1
cpd00192,CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)/C=C/c1ccc(O)cc1,C30H38N7O18P3S,-4
